temperature,humidity,visibility,wind_speed,weather,junction,traffic_signal,hour,severity
33.23801983833452,76.9022349891591,7.576225000694728,4.401416699694915,0,1,0,11,3
38.31606711316637,73.22073736391033,4.683635224448365,3.820977135648178,0,1,1,12,1
34.05974812267608,68.65219134287138,8.710101116561777,1.8127928999926441,1,1,0,20,3
30.468803161765102,65.49277110294916,9.386452357681424,3.8694724316566314,3,0,0,16,1
25.609127894089927,85.12229622875076,9.206918024787962,4.368502113974155,2,1,0,14,1
31.670786892068403,71.55873974376675,8.036096597524633,3.974897801148641,3,1,0,5,2
31.224261652084724,91.52128033603532,6.896178096937589,6.656762785531107,0,0,1,22,1
30.337095199776304,79.05285511243268,6.8805426917360215,1.705020273430176,1,1,1,18,1
27.281190868154017,88.61077084233415,3.372275333130563,13.023736691433289,3,0,0,7,3
30.39977103049367,78.45401138000885,9.309508790393664,13.228190509897612,1,0,0,15,1
26.866629553263362,70.77301072074184,7.301140082204624,3.52711972509722,0,1,1,18,2
36.66257871150266,77.81092821628762,1.2109544387297009,13.457150442418913,2,0,1,15,1
32.4831443148213,63.83714485632102,8.180810115576957,2.717821399831979,1,0,0,8,1
36.75644320479896,76.45466496232218,7.383813457386347,1.688294306353674,3,1,1,17,3
31.482737406839124,54.77110171691255,9.183567360006503,4.788267043958445,1,0,0,10,3
40.16188378365564,76.7416197666068,2.2385352354615358,3.4227625991608317,0,0,0,12,1
23.834721591253892,93.84560199751193,1.6649531225055587,1.7070040976397785,3,1,1,16,3
41.53609833185429,71.0287471246064,5.510804896512319,7.1611129173825265,3,0,0,6,2
24.187563448664857,70.94271616554823,8.420159991451792,11.915936027057537,3,0,0,13,1
30.373113756105315,72.87943625085478,2.9020368836312516,8.89145117808415,2,0,0,2,3
28.23668551789465,66.44611129055252,2.2498654233540365,11.130989970751306,3,0,0,5,2
33.38306760935816,67.5593377633546,6.112776207589663,14.428777776848902,2,1,0,17,1
35.816423275720894,74.4581466174062,6.770325042611266,7.025946343045053,2,0,0,6,2
25.202797351923415,80.55458698052219,8.47724318840123,10.989967961540193,3,0,1,23,2
34.30111537289313,59.56216644899958,3.3760841542777715,1.412960547126894,3,1,0,10,3
27.93190217362833,62.427563768385326,2.228040325599909,10.342034983861579,0,0,1,10,2
30.153942571069756,75.27915539421541,1.2346755136937242,13.3913023348312,0,0,0,12,2
30.70016204969569,71.82159005395549,4.480207763441945,10.414708095747041,3,0,1,19,3
27.735648740162436,68.2233844729559,6.7978577496372,1.9888525756931037,3,0,0,22,3
27.485967977757223,62.30928177600954,3.878152155464916,10.691203453167795,3,1,0,10,1
31.518437968903587,63.25387901370062,3.243342357221416,2.20856536373603,3,0,0,19,3
25.62358734202038,63.80394645996714,6.447564019531986,4.038671762730094,3,0,1,21,1
27.97005115094794,56.85914017085615,2.6343513588552216,13.894972846438929,2,1,0,22,1
33.573662872684196,53.15602514482839,3.949667549179644,1.6709127153251908,3,0,0,11,2
44.445264270598706,78.32302985335198,2.434394148907199,11.281229293615777,2,1,0,9,2
27.069777888861502,79.7313104523414,4.695339664095563,3.9876626957507177,1,0,1,12,2
29.35672368586626,53.72555062848761,7.868448752999483,1.3918775201802454,2,0,0,21,3
35.442459987036386,65.22927712814027,5.787072402648102,11.552005391382316,0,0,0,13,1
29.137572333121547,65.87640181609906,5.824172047786747,14.480596512405121,2,0,0,12,1
25.948556643085134,75.17520826793444,7.992619787751915,10.983179987288132,3,0,1,19,1
